combo,train-dataset,test-settings,n_samples,intersection,union,jaccard-index
fla-omen,rockyou,all-12-100-80,500000000,169555518,830383281,0.2041894651296574
fla-omen,linkedin,all-12-100-80,500000000,95494795,904497933,0.10557768184529395
fla-omen,000webhost,all-12-100-80,500000000,42727551,957243431,0.04463603469742693
fla-omen,gmail,all-12-100-80,500000000,101472025,898518713,0.11293256727086105
fla-omen,libero,all-12-100-80,500000000,44142833,955857157,0.04618141181109554
fla-omen,ashleymadison,all-12-100-80,500000000,86365341,913632735,0.09452960439295117
fla-omen,taobao,all-12-100-80,500000000,125212541,874781993,0.1431357092417882
fla-omen,mailru,all-12-100-80,500000000,78408971,921590371,0.08508006753034966
fla-passflow,rockyou,all-12-100-80,500000000,41614497,912543090,0.045602774768696126
fla-passflow,linkedin,all-12-100-80,500000000,20157040,955245244,0.021101429320489765
fla-passflow,000webhost,all-12-100-80,500000000,12197881,968862939,0.012589893274883539
fla-passflow,gmail,all-12-100-80,500000000,21255221,918164882,0.023149677597884864
fla-passflow,libero,all-12-100-80,500000000,5344255,977506007,0.005467234944572571
fla-passflow,ashleymadison,all-12-100-80,500000000,20371582,931101315,0.02187901753742019
fla-passflow,taobao,all-12-100-80,500000000,80917384,809295812,0.09998492862582613
fla-passflow,mailru,all-12-100-80,500000000,39413407,889844782,0.044292451669396875
fla-passgan,rockyou,all-12-100-80,500000000,25100873,731549379,0.034311932619383714
fla-passgan,linkedin,all-12-100-80,500000000,21585260,807004169,0.026747395898521063
fla-omen,rockyou,all-12-100-80,500000000,169555518,830383281,0.2041894651296574
fla-omen,linkedin,all-12-100-80,500000000,95494795,904497933,0.10557768184529395
fla-omen,000webhost,all-12-100-80,500000000,42727551,957243431,0.04463603469742693
fla-omen,gmail,all-12-100-80,500000000,101472025,898518713,0.11293256727086105
fla-omen,libero,all-12-100-80,500000000,44142833,955857157,0.04618141181109554
fla-omen,ashleymadison,all-12-100-80,500000000,86365341,913632735,0.09452960439295117
fla-omen,taobao,all-12-100-80,500000000,125212541,874781993,0.1431357092417882
fla-omen,mailru,all-12-100-80,500000000,78408971,921590371,0.08508006753034966
fla-passflow,rockyou,all-12-100-80,500000000,41614497,912543090,0.045602774768696126
fla-passflow,linkedin,all-12-100-80,500000000,20157040,955245244,0.021101429320489765
fla-passflow,000webhost,all-12-100-80,500000000,12197881,968862939,0.012589893274883539
fla-passflow,gmail,all-12-100-80,500000000,21255221,918164882,0.023149677597884864
fla-passflow,libero,all-12-100-80,500000000,5344255,977506007,0.005467234944572571
fla-passflow,ashleymadison,all-12-100-80,500000000,20371582,931101315,0.02187901753742019
fla-passflow,taobao,all-12-100-80,500000000,80917384,809295812,0.09998492862582613
fla-passflow,mailru,all-12-100-80,500000000,39413407,889844782,0.044292451669396875
fla-passgan,rockyou,all-12-100-80,500000000,25100873,731549379,0.034311932619383714
fla-passgan,linkedin,all-12-100-80,500000000,21585260,807004169,0.026747395898521063
fla-passgan,000webhost,all-12-100-80,500000000,11660758,861586396,0.013534055382183633
fla-passgan,gmail,all-12-100-80,500000000,19899411,729373076,0.027282897675811657
fla-passgan,libero,all-12-100-80,500000000,15147139,692357445,0.021877628542002606
fla-passgan,ashleymadison,all-12-100-80,500000000,24603364,706330576,0.034832647539245136
fla-passgan,taobao,all-12-100-80,500000000,36839441,737656789,0.04994116715165215
fla-passgan,mailru,all-12-100-80,500000000,17818995,745166599,0.023912766653675522
fla-passgpt,rockyou,all-12-100-80,500000000,110315752,751130936,0.14686620762481817
fla-passgpt,linkedin,all-12-100-80,500000000,94213080,809731170,0.11635106006849162
fla-passgpt,000webhost,all-12-100-80,500000000,60593350,881620303,0.06872953106208127
fla-passgpt,gmail,all-12-100-80,500000000,79768287,777019744,0.10265927940178571
fla-passgpt,libero,all-12-100-80,500000000,46048496,772807811,0.05958596088775816
fla-passgpt,ashleymadison,all-12-100-80,500000000,67072793,725547950,0.09244432845547976
fla-passgpt,taobao,all-12-100-80,500000000,100705139,798367162,0.12613887919403177
fla-passgpt,mailru,all-12-100-80,500000000,73818298,780433905,0.09458622636339717
fla-pcfg,rockyou,all-12-100-80,500000000,144279123,854997138,0.1687480771426863
fla-pcfg,linkedin,all-12-100-80,500000000,195972046,803497634,0.24389872192206108
fla-pcfg,000webhost,all-12-100-80,500000000,134172321,865510598,0.15502100298949778
fla-pcfg,gmail,all-12-100-80,500000000,126553487,872941322,0.14497364692285697
fla-pcfg,libero,all-12-100-80,500000000,66985910,932701962,0.07181920134097455
fla-pcfg,ashleymadison,all-12-100-80,500000000,98822261,900884826,0.10969466700730067
fla-pcfg,taobao,all-12-100-80,500000000,126360436,872365622,0.14484802336697308
fla-pcfg,mailru,all-12-100-80,500000000,127690895,871887203,0.14645345700755744
fla-plrgan,rockyou,all-12-100-80,500000000,46247204,833947846,0.055455750886368976
fla-plrgan,linkedin,all-12-100-80,500000000,46225297,899536278,0.051387918564858595
fla-plrgan,000webhost,all-12-100-80,500000000,22316118,943495810,0.02365258834588783
fla-plrgan,gmail,all-12-100-80,500000000,31137918,831566860,0.037444876050014786
fla-plrgan,libero,all-12-100-80,500000000,17144286,731595617,0.023434101574176053
fla-plrgan,ashleymadison,all-12-100-80,500000000,23811785,714413237,0.03333054843719252
fla-plrgan,taobao,all-12-100-80,500000000,45852108,823258747,0.055695864959938286
fla-plrgan,mailru,all-12-100-80,500000000,23945921,810782694,0.02953432674032877
fla-vgpt2,rockyou,all-12-100-80,500000000,36296712,932532236,0.03892274239836573
fla-vgpt2,linkedin,all-12-100-80,500000000,31106968,955094253,0.0325695269365211
fla-vgpt2,000webhost,all-12-100-80,500000000,9659968,987452655,0.009782715101414154
