combo,train-dataset,test-settings,n_samples,test-size,matches,match_percentage
fla-omen-passflow-passgan-passgpt-pcfg-plrgan-vgpt2,rockyou,all-12-100-80,500000000,3405892,2376822,69.79
fla-omen-passflow-passgan-passgpt-pcfg-plrgan-vgpt2,linkedin,all-12-100-80,500000000,9983716,4839637,48.48
fla-omen-passflow-passgan-passgpt-pcfg-plrgan-vgpt2,000webhost,all-12-100-80,500000000,2070411,757274,36.58
fla-omen-passflow-passgan-passgpt-pcfg-plrgan-vgpt2,gmail,all-12-100-80,500000000,715952,454446,63.47
fla-omen-passflow-passgan-passgpt-pcfg-plrgan-vgpt2,libero,all-12-100-80,500000000,94617,64474,68.14
fla-omen-passflow-passgan-passgpt-pcfg-plrgan-vgpt2,ashleymadison,all-12-100-80,500000000,74321,55285,74.39
fla-omen-passflow-passgan-passgpt-pcfg-plrgan-vgpt2,taobao,all-12-100-80,500000000,1217293,631156,51.85
fla-omen-passflow-passgan-passgpt-pcfg-plrgan-vgpt2,mailru,all-12-100-80,500000000,498437,295529,59.29
fla-omen-passflow-passgpt-pcfg-plrgan-vgpt2,rockyou,all-12-100-80,500000000,3405892,2373494,69.69
fla-omen-passflow-passgpt-pcfg-plrgan-vgpt2,linkedin,all-12-100-80,500000000,9983716,4828224,48.36
fla-omen-passflow-passgpt-pcfg-plrgan-vgpt2,000webhost,all-12-100-80,500000000,2070411,755918,36.51
fla-omen-passflow-passgpt-pcfg-plrgan-vgpt2,gmail,all-12-100-80,500000000,715952,453634,63.36
fla-omen-passflow-passgpt-pcfg-plrgan-vgpt2,libero,all-12-100-80,500000000,94617,64332,67.99
fla-omen-passflow-passgpt-pcfg-plrgan-vgpt2,ashleymadison,all-12-100-80,500000000,74321,55165,74.23
fla-omen-passflow-passgpt-pcfg-plrgan-vgpt2,taobao,all-12-100-80,500000000,1217293,628162,51.6
fla-omen-passflow-passgpt-pcfg-plrgan-vgpt2,mailru,all-12-100-80,500000000,498437,295206,59.23
fla-omen-passflow-passgpt-pcfg-plrgan,rockyou,all-12-100-80,500000000,3405892,2368623,69.54
fla-omen-passflow-passgpt-pcfg-plrgan,linkedin,all-12-100-80,500000000,9983716,4810906,48.19
fla-omen-passflow-passgpt-pcfg-plrgan,000webhost,all-12-100-80,500000000,2070411,754738,36.45
