model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,1000000,9946,10.51%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,2500000,15458,16.34%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,5000000,17007,17.97%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,7500000,18497,19.55%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,10000000,19161,20.25%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,25000000,24999,26.42%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,50000000,30276,32.0%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,75000000,31394,33.18%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,100000000,31618,33.42%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,250000000,38744,40.95%
omen,libero,all-12-100-80,089cd10612b874833102d6d25ab34970,94616,500000000,39774,42.04%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,1000000,30209,1.46%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,2500000,40343,1.95%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,5000000,56953,2.75%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,7500000,68977,3.33%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,10000000,76799,3.71%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,25000000,102802,4.97%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,50000000,138899,6.71%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,75000000,146610,7.08%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,100000000,150657,7.28%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,250000000,226399,10.93%
omen,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,500000000,242688,11.72%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,1000000,6478,8.72%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,2500000,9702,13.05%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,5000000,12136,16.33%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,7500000,15286,20.57%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,10000000,16379,22.04%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,25000000,20111,27.06%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,50000000,25279,34.01%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,75000000,27335,36.78%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,100000000,27936,37.59%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,250000000,33529,45.11%
omen,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,500000000,36057,48.52%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,1000000,36701,5.13%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,2500000,59869,8.36%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,5000000,64699,9.04%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,7500000,88090,12.3%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,10000000,98120,13.7%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,25000000,116570,16.28%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,50000000,150257,20.99%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,75000000,168862,23.59%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,100000000,171483,23.95%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,250000000,200251,27.97%
omen,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,500000000,244703,34.18%
omen,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,1000000,45514,0.46%
omen,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,2500000,66750,0.67%
omen,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,5000000,123956,1.24%
omen,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,7500000,176453,1.77%
omen,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,10000000,195419,1.96%
omen,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,25000000,317666,3.18%
omen,linkedin,all-12-100-80,5d93bb15bbef9c422fbcbdd67e3da7f5,9983651,50000000,527814,5.29%
