model,train-dataset,test-settings,n_samples,length,test-size,matches,match_percentage
omen,rockyou,all-12-100-80,500000000,9,529298,111459,21.06
omen,rockyou,all-12-100-80,500000000,6,594288,399617,67.24
omen,rockyou,all-12-100-80,500000000,11,194247,7320,3.77
omen,rockyou,all-12-100-80,500000000,7,651286,367871,56.48
omen,rockyou,all-12-100-80,500000000,8,761164,342929,45.05
omen,rockyou,all-12-100-80,500000000,10,463803,101012,21.78
omen,rockyou,all-12-100-80,500000000,12,121713,1172,0.96
omen,rockyou,all-12-100-80,500000000,5,83059,40001,48.16
omen,rockyou,all-12-100-80,500000000,4,6130,965,15.74
omen,rockyou,all-12-100-80,500000000,3,774,0,0.0
omen,rockyou,all-12-100-80,500000000,2,108,0,0.0
omen,rockyou,all-12-100-80,500000000,1,21,0,0.0
omen,linkedin,all-12-100-80,500000000,12,507388,4385,0.86
omen,linkedin,all-12-100-80,500000000,8,2982323,676140,22.67
omen,linkedin,all-12-100-80,500000000,10,1521295,78656,5.17
omen,linkedin,all-12-100-80,500000000,11,794698,8426,1.06
omen,linkedin,all-12-100-80,500000000,7,1336390,117333,8.78
omen,linkedin,all-12-100-80,500000000,9,1755937,273529,15.58
omen,linkedin,all-12-100-80,500000000,6,1085113,181271,16.71
omen,linkedin,all-12-100-80,500000000,5,516,0,0.0
omen,linkedin,all-12-100-80,500000000,4,44,0,0.0
omen,linkedin,all-12-100-80,500000000,1,10,0,0.0
omen,linkedin,all-12-100-80,500000000,3,1,0,0.0
omen,000webhost,all-12-100-80,500000000,9,379528,61889,16.31
omen,000webhost,all-12-100-80,500000000,12,206791,3231,1.56
omen,000webhost,all-12-100-80,500000000,10,375335,37311,9.94
omen,000webhost,all-12-100-80,500000000,8,537956,89733,16.68
omen,000webhost,all-12-100-80,500000000,6,109152,12406,11.37
omen,000webhost,all-12-100-80,500000000,11,281474,14496,5.15
omen,000webhost,all-12-100-80,500000000,7,179285,23620,13.17
omen,000webhost,all-12-100-80,500000000,5,445,1,0.22
omen,000webhost,all-12-100-80,500000000,3,126,0,0.0
omen,000webhost,all-12-100-80,500000000,4,154,0,0.0
omen,000webhost,all-12-100-80,500000000,1,55,0,0.0
omen,000webhost,all-12-100-80,500000000,2,109,0,0.0
omen,gmail,all-12-100-80,500000000,9,109135,29177,26.73
omen,gmail,all-12-100-80,500000000,8,217137,89889,41.4
omen,gmail,all-12-100-80,500000000,7,93461,24452,26.16
omen,gmail,all-12-100-80,500000000,6,106116,75623,71.26
omen,gmail,all-12-100-80,500000000,10,121286,12204,10.06
omen,gmail,all-12-100-80,500000000,11,27565,603,2.19
omen,gmail,all-12-100-80,500000000,12,17203,230,1.34
omen,gmail,all-12-100-80,500000000,4,5044,1977,39.2
omen,gmail,all-12-100-80,500000000,5,16700,10547,63.16
omen,gmail,all-12-100-80,500000000,3,2080,0,0.0
omen,gmail,all-12-100-80,500000000,2,197,0,0.0
omen,gmail,all-12-100-80,500000000,1,27,0,0.0
omen,libero,all-12-100-80,500000000,8,31477,13613,43.25
omen,libero,all-12-100-80,500000000,7,9459,4641,49.06
omen,libero,all-12-100-80,500000000,11,6487,1643,25.33
omen,libero,all-12-100-80,500000000,12,4697,907,19.31
