model,train-dataset,test-settings,n_samples,pattern,test-size,matches,match_percentage
omen,rockyou,all-12-100-80,500000000,r1,1047367,403581,38.53
omen,rockyou,all-12-100-80,500000000,r2,953153,382804,40.16
omen,rockyou,all-12-100-80,500000000,r3,56691,13616,24.02
omen,rockyou,all-12-100-80,500000000,r4,584993,443472,75.81
omen,rockyou,all-12-100-80,500000000,r5,353,98,27.76
omen,rockyou,all-12-100-80,500000000,r6,1601712,511240,31.92
omen,rockyou,all-12-100-80,500000000,r7,79287,8130,10.25
omen,rockyou,all-12-100-80,500000000,r8,8667,935,10.79
omen,rockyou,all-12-100-80,500000000,r9,83512,4890,5.86
omen,rockyou,all-12-100-80,500000000,r10,1363449,487371,35.75
omen,rockyou,all-12-100-80,500000000,r11,54880,6677,12.17
omen,rockyou,all-12-100-80,500000000,r12,30124,5993,19.89
omen,rockyou,all-12-100-80,500000000,r13,5210,225,4.32
omen,rockyou,all-12-100-80,500000000,r14,618828,445664,72.02
omen,rockyou,all-12-100-80,500000000,r15,2325,175,7.53
omen,rockyou,all-12-100-80,500000000,r16,8256,105,1.27
omen,rockyou,all-12-100-80,500000000,r17,3670,80,2.18
omen,rockyou,all-12-100-80,500000000,r18,21336,3094,14.5
omen,rockyou,all-12-100-80,500000000,r19,319916,145031,45.33
omen,linkedin,all-12-100-80,500000000,r1,2278279,311700,13.68
omen,linkedin,all-12-100-80,500000000,r2,2009333,296896,14.78
omen,linkedin,all-12-100-80,500000000,r3,89784,2192,2.44
omen,linkedin,all-12-100-80,500000000,r4,878607,320731,36.5
omen,linkedin,all-12-100-80,500000000,r5,664,18,2.71
omen,linkedin,all-12-100-80,500000000,r6,6112054,694397,11.36
omen,linkedin,all-12-100-80,500000000,r7,130027,1018,0.78
omen,linkedin,all-12-100-80,500000000,r8,19149,406,2.12
omen,linkedin,all-12-100-80,500000000,r9,564935,11470,2.03
omen,linkedin,all-12-100-80,500000000,r10,4938674,683299,13.84
omen,linkedin,all-12-100-80,500000000,r11,220099,4357,1.98
omen,linkedin,all-12-100-80,500000000,r12,78350,1546,1.97
omen,linkedin,all-12-100-80,500000000,r13,28362,248,0.87
omen,linkedin,all-12-100-80,500000000,r14,1065789,323535,30.36
omen,linkedin,all-12-100-80,500000000,r15,6249,28,0.45
omen,linkedin,all-12-100-80,500000000,r16,20115,18,0.09
omen,linkedin,all-12-100-80,500000000,r17,27822,125,0.45
omen,linkedin,all-12-100-80,500000000,r18,92021,2004,2.18
omen,linkedin,all-12-100-80,500000000,r19,1014435,163657,16.13
omen,000webhost,all-12-100-80,500000000,r1,3852,432,11.21
omen,000webhost,all-12-100-80,500000000,r2,3325,414,12.45
omen,000webhost,all-12-100-80,500000000,r3,130,2,1.54
omen,000webhost,all-12-100-80,500000000,r4,639,169,26.45
omen,000webhost,all-12-100-80,500000000,r5,120,11,9.17
omen,000webhost,all-12-100-80,500000000,r6,1935998,235630,12.17
omen,000webhost,all-12-100-80,500000000,r7,24118,598,2.48
omen,000webhost,all-12-100-80,500000000,r8,8049,834,10.36
omen,000webhost,all-12-100-80,500000000,r9,97634,5013,5.13
omen,000webhost,all-12-100-80,500000000,r10,1478614,223305,15.1
omen,000webhost,all-12-100-80,500000000,r11,38614,1788,4.63
omen,000webhost,all-12-100-80,500000000,r12,15283,310,2.03
omen,000webhost,all-12-100-80,500000000,r13,9805,680,6.94
omen,000webhost,all-12-100-80,500000000,r14,77142,2550,3.31
omen,000webhost,all-12-100-80,500000000,r15,90,0,0.0
omen,000webhost,all-12-100-80,500000000,r16,382,11,2.88
omen,000webhost,all-12-100-80,500000000,r17,356,2,0.56
omen,000webhost,all-12-100-80,500000000,r18,9614,392,4.08
omen,000webhost,all-12-100-80,500000000,r19,282295,38987,13.81
omen,gmail,all-12-100-80,500000000,r1,230827,85597,37.08
omen,gmail,all-12-100-80,500000000,r2,230827,85597,37.08
omen,gmail,all-12-100-80,500000000,r3,0,0,0
omen,gmail,all-12-100-80,500000000,r4,112252,67632,60.25
omen,gmail,all-12-100-80,500000000,r5,161,33,20.5
omen,gmail,all-12-100-80,500000000,r6,356437,90868,25.49
omen,gmail,all-12-100-80,500000000,r7,6415,191,2.98
omen,gmail,all-12-100-80,500000000,r8,1201,52,4.33
omen,gmail,all-12-100-80,500000000,r9,8658,329,3.8
omen,gmail,all-12-100-80,500000000,r10,278376,86574,31.1
omen,gmail,all-12-100-80,500000000,r11,4706,201,4.27
omen,gmail,all-12-100-80,500000000,r12,5073,669,13.19
omen,gmail,all-12-100-80,500000000,r13,789,45,5.7
omen,gmail,all-12-100-80,500000000,r14,123310,68067,55.2
omen,gmail,all-12-100-80,500000000,r15,347,11,3.17
omen,gmail,all-12-100-80,500000000,r16,608,33,5.43
omen,gmail,all-12-100-80,500000000,r17,496,10,2.02
omen,gmail,all-12-100-80,500000000,r18,0,0,0
omen,gmail,all-12-100-80,500000000,r19,67604,26609,39.36
omen,libero,all-12-100-80,500000000,r1,30736,14546,47.33
omen,libero,all-12-100-80,500000000,r2,27510,13517,49.13
omen,libero,all-12-100-80,500000000,r3,1889,593,31.39
omen,libero,all-12-100-80,500000000,r4,13767,9066,65.85
omen,libero,all-12-100-80,500000000,r5,3,1,33.33
omen,libero,all-12-100-80,500000000,r6,47539,16020,33.7
omen,libero,all-12-100-80,500000000,r7,654,57,8.72
omen,libero,all-12-100-80,500000000,r8,114,10,8.77
omen,libero,all-12-100-80,500000000,r9,1803,73,4.05
omen,libero,all-12-100-80,500000000,r10,37530,15616,41.61
