model,train-dataset,test-settings,n_samples,length,matches,match_percentage
omen,rockyou,all-12-100-80,500000000,1,0,0.0
omen,rockyou,all-12-100-80,500000000,2,0,0.0
omen,rockyou,all-12-100-80,500000000,3,0,0.0
omen,rockyou,all-12-100-80,500000000,4,1957,0.0
omen,rockyou,all-12-100-80,500000000,5,210669,0.04
omen,rockyou,all-12-100-80,500000000,6,8208351,1.64
omen,rockyou,all-12-100-80,500000000,7,34576447,6.92
omen,rockyou,all-12-100-80,500000000,8,152586796,30.52
omen,rockyou,all-12-100-80,500000000,9,96679984,19.34
omen,rockyou,all-12-100-80,500000000,10,188603711,37.72
omen,rockyou,all-12-100-80,500000000,11,17177015,3.44
omen,rockyou,all-12-100-80,500000000,12,1955070,0.39
omen,linkedin,all-12-100-80,500000000,1,0,0.0
omen,linkedin,all-12-100-80,500000000,2,0,0.0
omen,linkedin,all-12-100-80,500000000,3,0,0.0
omen,linkedin,all-12-100-80,500000000,4,0,0.0
omen,linkedin,all-12-100-80,500000000,5,0,0.0
omen,linkedin,all-12-100-80,500000000,6,1597531,0.32
omen,linkedin,all-12-100-80,500000000,7,3274878,0.65
omen,linkedin,all-12-100-80,500000000,8,119722133,23.94
omen,linkedin,all-12-100-80,500000000,9,246296540,49.26
omen,linkedin,all-12-100-80,500000000,10,107958520,21.59
omen,linkedin,all-12-100-80,500000000,11,10754473,2.15
omen,linkedin,all-12-100-80,500000000,12,10395925,2.08
omen,000webhost,all-12-100-80,500000000,1,0,0.0
omen,000webhost,all-12-100-80,500000000,2,0,0.0
omen,000webhost,all-12-100-80,500000000,3,0,0.0
omen,000webhost,all-12-100-80,500000000,4,0,0.0
omen,000webhost,all-12-100-80,500000000,5,1,0.0
omen,000webhost,all-12-100-80,500000000,6,226032,0.05
omen,000webhost,all-12-100-80,500000000,7,1665162,0.33
omen,000webhost,all-12-100-80,500000000,8,49885782,9.98
omen,000webhost,all-12-100-80,500000000,9,98116165,19.62
omen,000webhost,all-12-100-80,500000000,10,170616940,34.12
omen,000webhost,all-12-100-80,500000000,11,170279807,34.06
omen,000webhost,all-12-100-80,500000000,12,9210111,1.84
omen,gmail,all-12-100-80,500000000,1,0,0.0
omen,gmail,all-12-100-80,500000000,2,0,0.0
omen,gmail,all-12-100-80,500000000,3,0,0.0
omen,gmail,all-12-100-80,500000000,4,7567,0.0
omen,gmail,all-12-100-80,500000000,5,200032,0.04
omen,gmail,all-12-100-80,500000000,6,8140636,1.63
omen,gmail,all-12-100-80,500000000,7,4336190,0.87
omen,gmail,all-12-100-80,500000000,8,132499732,26.5
omen,gmail,all-12-100-80,500000000,9,228195496,45.64
omen,gmail,all-12-100-80,500000000,10,121322929,24.26
omen,gmail,all-12-100-80,500000000,11,2628959,0.53
omen,gmail,all-12-100-80,500000000,12,2668459,0.53
omen,libero,all-12-100-80,500000000,1,0,0.0
omen,libero,all-12-100-80,500000000,2,0,0.0
omen,libero,all-12-100-80,500000000,3,0,0.0
omen,libero,all-12-100-80,500000000,4,97,0.0
omen,libero,all-12-100-80,500000000,5,1206,0.0
omen,libero,all-12-100-80,500000000,6,1208666,0.24
omen,libero,all-12-100-80,500000000,7,3540335,0.71
omen,libero,all-12-100-80,500000000,8,42744579,8.55
omen,libero,all-12-100-80,500000000,9,88021525,17.6
omen,libero,all-12-100-80,500000000,10,53011564,10.6
omen,libero,all-12-100-80,500000000,11,108299607,21.66
omen,libero,all-12-100-80,500000000,12,203172421,40.63
omen,ashleymadison,all-12-100-80,500000000,1,0,0.0
omen,ashleymadison,all-12-100-80,500000000,2,0,0.0
omen,ashleymadison,all-12-100-80,500000000,3,0,0.0
omen,ashleymadison,all-12-100-80,500000000,4,105203,0.02
omen,ashleymadison,all-12-100-80,500000000,5,927249,0.19
omen,ashleymadison,all-12-100-80,500000000,6,13596458,2.72
omen,ashleymadison,all-12-100-80,500000000,7,50631050,10.13
omen,ashleymadison,all-12-100-80,500000000,8,120386706,24.08
omen,ashleymadison,all-12-100-80,500000000,9,83875948,16.78
omen,ashleymadison,all-12-100-80,500000000,10,169190753,33.84
omen,ashleymadison,all-12-100-80,500000000,11,51965841,10.39
omen,ashleymadison,all-12-100-80,500000000,12,9320792,1.86
omen,taobao,all-12-100-80,500000000,1,0,0.0
omen,taobao,all-12-100-80,500000000,2,0,0.0
omen,taobao,all-12-100-80,500000000,3,0,0.0
omen,taobao,all-12-100-80,500000000,4,40,0.0
omen,taobao,all-12-100-80,500000000,5,248,0.0
omen,taobao,all-12-100-80,500000000,6,1712196,0.34
omen,taobao,all-12-100-80,500000000,7,16420781,3.28
omen,taobao,all-12-100-80,500000000,8,69456550,13.89
omen,taobao,all-12-100-80,500000000,9,119946578,23.99
omen,taobao,all-12-100-80,500000000,10,229904290,45.98
omen,taobao,all-12-100-80,500000000,11,28804335,5.76
omen,taobao,all-12-100-80,500000000,12,33754982,6.75
omen,mailru,all-12-100-80,500000000,1,0,0.0
omen,mailru,all-12-100-80,500000000,2,0,0.0
omen,mailru,all-12-100-80,500000000,3,0,0.0
omen,mailru,all-12-100-80,500000000,4,5075,0.0
omen,mailru,all-12-100-80,500000000,5,41979,0.01
omen,mailru,all-12-100-80,500000000,6,8119086,1.62
omen,mailru,all-12-100-80,500000000,7,27035883,5.41
omen,mailru,all-12-100-80,500000000,8,80239286,16.05
omen,mailru,all-12-100-80,500000000,9,206707961,41.34
omen,mailru,all-12-100-80,500000000,10,59264264,11.85
omen,mailru,all-12-100-80,500000000,11,45202497,9.04
omen,mailru,all-12-100-80,500000000,12,73383969,14.68
pcfg,rockyou,all-12-100-80,500000000,1,93,0.0
pcfg,rockyou,all-12-100-80,500000000,2,3788,0.0
pcfg,rockyou,all-12-100-80,500000000,3,59885,0.01
pcfg,rockyou,all-12-100-80,500000000,4,335705,0.07
pcfg,rockyou,all-12-100-80,500000000,5,4727225,0.95
pcfg,rockyou,all-12-100-80,500000000,6,47275244,9.46
pcfg,rockyou,all-12-100-80,500000000,7,91733682,18.35
pcfg,rockyou,all-12-100-80,500000000,8,155009489,31.0
pcfg,rockyou,all-12-100-80,500000000,9,107593341,21.52
pcfg,rockyou,all-12-100-80,500000000,10,62326590,12.47
pcfg,rockyou,all-12-100-80,500000000,11,21807507,4.36
pcfg,rockyou,all-12-100-80,500000000,12,9127190,1.83
pcfg,linkedin,all-12-100-80,500000000,1,91,0.0
pcfg,linkedin,all-12-100-80,500000000,2,567,0.0
pcfg,linkedin,all-12-100-80,500000000,3,271,0.0
pcfg,linkedin,all-12-100-80,500000000,4,4464,0.0
pcfg,linkedin,all-12-100-80,500000000,5,49996,0.01
pcfg,linkedin,all-12-100-80,500000000,6,56519314,11.3
pcfg,linkedin,all-12-100-80,500000000,7,75306771,15.06
pcfg,linkedin,all-12-100-80,500000000,8,194770031,38.95
pcfg,linkedin,all-12-100-80,500000000,9,93236404,18.65
pcfg,linkedin,all-12-100-80,500000000,10,50116396,10.02
