model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
omen,rockyou,all-12-100-80,500000000,r1,100337005,20.07
omen,rockyou,all-12-100-80,500000000,r2,95680683,19.14
omen,rockyou,all-12-100-80,500000000,r3,2669144,0.53
omen,rockyou,all-12-100-80,500000000,r4,256965861,51.39
omen,rockyou,all-12-100-80,500000000,r5,1375,0.0
omen,rockyou,all-12-100-80,500000000,r6,139511934,27.9
omen,rockyou,all-12-100-80,500000000,r7,1275669,0.26
omen,rockyou,all-12-100-80,500000000,r8,254750,0.05
omen,rockyou,all-12-100-80,500000000,r9,1653406,0.33
omen,rockyou,all-12-100-80,500000000,r10,134360907,26.87
omen,rockyou,all-12-100-80,500000000,r11,881826,0.18
omen,rockyou,all-12-100-80,500000000,r12,555192,0.11
omen,rockyou,all-12-100-80,500000000,r13,98680,0.02
omen,rockyou,all-12-100-80,500000000,r14,257693162,51.54
omen,rockyou,all-12-100-80,500000000,r15,33716,0.01
omen,rockyou,all-12-100-80,500000000,r16,2810,0.0
omen,rockyou,all-12-100-80,500000000,r17,29148,0.01
omen,rockyou,all-12-100-80,500000000,r18,269471,0.05
omen,rockyou,all-12-100-80,500000000,r19,47086465,9.42
omen,linkedin,all-12-100-80,500000000,r1,102088094,20.42
omen,linkedin,all-12-100-80,500000000,r2,92287538,18.46
omen,linkedin,all-12-100-80,500000000,r3,833162,0.17
omen,linkedin,all-12-100-80,500000000,r4,168613588,33.72
omen,linkedin,all-12-100-80,500000000,r5,396,0.0
omen,linkedin,all-12-100-80,500000000,r6,225579145,45.12
omen,linkedin,all-12-100-80,500000000,r7,293893,0.06
omen,linkedin,all-12-100-80,500000000,r8,220837,0.04
omen,linkedin,all-12-100-80,500000000,r9,3204047,0.64
omen,linkedin,all-12-100-80,500000000,r10,222137211,44.43
omen,linkedin,all-12-100-80,500000000,r11,1268188,0.25
omen,linkedin,all-12-100-80,500000000,r12,277883,0.06
omen,linkedin,all-12-100-80,500000000,r13,105548,0.02
omen,linkedin,all-12-100-80,500000000,r14,169520917,33.9
omen,linkedin,all-12-100-80,500000000,r15,9604,0.0
omen,linkedin,all-12-100-80,500000000,r16,597,0.0
omen,linkedin,all-12-100-80,500000000,r17,19522,0.0
omen,linkedin,all-12-100-80,500000000,r18,554674,0.11
omen,linkedin,all-12-100-80,500000000,r19,51345781,10.27
omen,000webhost,all-12-100-80,500000000,r1,61812927,12.36
omen,000webhost,all-12-100-80,500000000,r2,59305039,11.86
omen,000webhost,all-12-100-80,500000000,r3,59315,0.01
omen,000webhost,all-12-100-80,500000000,r4,43084703,8.62
omen,000webhost,all-12-100-80,500000000,r5,71,0.0
omen,000webhost,all-12-100-80,500000000,r6,387093193,77.42
omen,000webhost,all-12-100-80,500000000,r7,454493,0.09
